routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
70;nap_gellert_e;C78013841.0;7;4.869185185185185;306.09;3294.68;89.19;-90.11;0.5;7;1104.2598769818749
50;nap_gellert_e;C7810534.0;7;8.275992366412213;38.76;2169.76;79.78999999999996;-63.819999999999965;0.5;2;543.9891280128239
50;nap_gellert_e;C78105432.0;7;8.627211155378488;27.95;2169.76;79.17999999999999;-63.52999999999999;0.5;2;509.1621857438144
50;nap_gellert_e;C7810599.0;7;5.906461538461538;52.01;777.2;29.260000000000005;-35.64;0.5;2;278.4897402781964
1500;nap_gellert_e;C78144121.0;7;2.591784741144414;536.68;1904.06;22.03000000000003;-16.740000000000023;0.5;6;947.6212447862212
1500;nap_gellert_e;C78144166.0;7;5.266038781163434;163.82;1904.06;22.03000000000001;-16.80000000000001;0.5;6;712.1532103693726
1500;nap_gellert_e;C78144341.0;7;4.883239074550128;191.93;1904.06;22.10000000000001;-16.92;0.5;6;771.7201340132847
1502;nap_gellert_e;C78144378.0;7;5.245398058252428;238.76;2706.75;20.54999999999997;-29.47999999999996;0.5;7;1023.411290611087
85;nap_gellert_e;C782451120.0;7;0.8777967471461763;8906.65;8690.53;239.83;-193.79;0.5;18;7023.288733544155
85;nap_gellert_e;C782451142.0;7;1.9692515845928813;2870.28;8102.81;172.92000000000002;-219.47000000000003;0.5;19;3850.4199247984257
85;nap_gellert_e;C78245214.0;7;3.6341176470588232;1316.17;8585.17;238.59000000000003;-192.55000000000004;0.5;18;3032.360950615967
85;nap_gellert_e;C7824549.0;7;3.348690851735016;1553.48;8565.85;239.04;-193.0;0.5;18;3054.375729633101
85;nap_gellert_e;C78245617.0;7;1.54981981981982;3994.82;8092.99;172.67999999999995;-219.17999999999995;0.5;19;4403.009665969582
85;nap_gellert_e;C78245945.0;7;0.9395009262286148;8140.43;8643.54;239.01;-192.97;0.5;18;6601.735899627808
1335;nap_gellert_e;C782574680.0;7;5.510129659643436;252.45;3406.59;97.80999999999996;-101.11999999999996;0.5;4;1020.9344155567014
1335;nap_gellert_e;C782574914.0;7;6.502577565632458;100.92;2724.58;87.92000000000003;-84.51000000000003;0.5;4;738.1698912216328
330;nap_gellert_e;C622151503.0;1;4.286616541353385;61.47;570.18;0.980000000000004;-9.13000000000001;0.7;3;287.4367734704783
330;nap_gellert_e;C622152254.0;1;4.497312775330396;106.86;1023.22;18.63000000000001;-10.610000000000014;0.7;3;418.5691230763664
330;nap_gellert_e;C622155141.0;1;5.900867052023122;52.8;1023.22;18.42999999999998;-10.409999999999982;0.7;3;351.5505875529648
